(PDH-CSV 4.0) (Hora estándar de Argentina)(180);\\LAPTOP-Q8902CT0\Procesador(_Total)\% de tiempo de procesador;\\LAPTOP-Q8902CT0\Disco físico(_Total)\Transferencias de disco/s;\\LAPTOP-Q8902CT0\Disco físico(_Total)\Promedio de segundos de disco/transferencia;
44:39.1;25.74353836;72.1174138;0.000905518;0.065303648
44:42.1;22.18456854;9.684879405;0.001590379;0.015402632
44:45.1;26.17036106;64.05858157;0.000189922;0.012166159
44:48.1;23.92625961;15.95166486;0.002259898;0.036049134
44:51.1;30.81216717;70.9165411;0.001364792;0.09678636
44:54.1;22.76994404;62.73256095;0.001212249;0.076047514
44:57.1;27.00680701;6.970020779;0.004212567;0.029361677
45:00.1;30.79462894;63.11418619;0.001162742;0.073385536
45:03.1;23.51385443;9.01465061;0.009289056;0.08373759
45:06.1;29.54323494;57.29138649;0.000820969;0.047034463
45:09.1;24.01994347;12.67808793;0.002234563;0.028329988
45:12.1;27.52803478;14.94885002;0.000380102;0.005682091
45:15.1;33.59780496;49.33010386;0.002447096;0.120715497
45:18.1;17.38977129;9.665903382;0.002237762;0.021629992
45:21.1;26.46479973;14.03069683;0.001931867;0.027105436
45:24.1;20.37085224;28.97867363;0.0017306;0.050150493
45:27.1;29.40112057;33.74174768;0.00390519;0.131767939
45:30.1;22.6323877;11.65080255;0.003100803;0.036126842
45:33.1;17.48824484;17.03173011;0.004830337;0.082269
45:36.1;21.35561705;9.642605153;0.005513421;0.053163739
45:39.1;8.163860336;26.93520198;0.001288112;0.034695566
;24.50462696;;;5.724607106
